type,layer_type,layers_k1,layers_k2,dilated_path_join,learn_alpha_residual_connection,epoch,ckpt_epoch,ckpt_epoch_std,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
dilated_gnn,eginconv,2.0,1.0,none,False,val_best,69.1,20.8108,0.0994,0.0093,870602.0,15.0418,0.3594,0.9705,0.0021,0.7427,0.0343,0.3212,0.0658,0.4456,0.074,0.8895,0.0319
dilated_gnn,eginconv,2.0,1.0,none,True,val_best,72.7,15.5438,0.1014,0.0072,870603.0,10.4759,0.1081,0.97,0.0019,0.7457,0.0308,0.2968,0.0589,0.422,0.0666,0.8872,0.0232
dilated_gnn,eginconv,2.0,2.0,add,False,val_best,58.1,20.8828,0.1011,0.0095,1142103.0,13.216,0.7569,0.9706,0.0023,0.7451,0.0366,0.3199,0.0632,0.4453,0.0699,0.8812,0.0303
dilated_gnn,eginconv,2.0,2.0,add,True,val_best,77.9,13.2624,0.0926,0.005,1142105.0,11.9449,0.274,0.9724,0.0009,0.7746,0.0096,0.3731,0.0276,0.5031,0.0268,0.9087,0.0163
dilated_gnn,eginconv,2.0,2.0,concat,False,val_best,52.4,17.1009,0.1028,0.0083,1142403.0,13.2416,0.5556,0.9702,0.0016,0.748,0.0208,0.3057,0.0506,0.4322,0.0544,0.8768,0.029
dilated_gnn,eginconv,2.0,2.0,concat,True,val_best,60.3,19.8043,0.0998,0.0087,1142405.0,14.9424,0.4295,0.9709,0.0019,0.7573,0.0294,0.3245,0.053,0.4527,0.0575,0.887,0.0273
dilated_gnn,eginconv,2.0,2.0,none,False,val_best,63.8,18.8669,0.0983,0.0092,1142103.0,14.2116,0.1256,0.9713,0.002,0.7667,0.0269,0.3334,0.0596,0.4625,0.0629,0.8906,0.028
dilated_gnn,eginconv,2.0,2.0,none,True,val_best,52.1,21.9611,0.1072,0.0109,1142105.0,15.1558,0.4459,0.9694,0.0023,0.7493,0.0321,0.2698,0.0717,0.3926,0.0812,0.8644,0.0351
dilated_gnn,eginconv,2.0,3.0,add,True,val_best,69.0,12.514,0.1055,0.0036,1413607.0,14.8881,0.2753,0.9696,0.0009,0.7332,0.0197,0.2956,0.0266,0.4208,0.0291,0.8691,0.0132
dilated_gnn,eginconv,2.0,3.0,concat,False,val_best,79.5,16.8656,0.1031,0.0037,1413904.0,15.5121,0.2794,0.9701,0.001,0.7405,0.022,0.3086,0.027,0.4352,0.0293,0.8749,0.0124
dilated_gnn,eginconv,2.0,3.0,concat,True,val_best,68.4,10.9745,0.1057,0.004,1413907.0,15.7144,0.4634,0.9695,0.001,0.7279,0.0173,0.2954,0.0315,0.4195,0.034,0.8666,0.0144
dilated_gnn,eginconv,2.0,3.0,none,False,val_best,80.5,14.2706,0.1057,0.0062,1413604.0,16.0541,0.3714,0.9698,0.0012,0.7517,0.0131,0.287,0.0406,0.414,0.045,0.8688,0.0203
dilated_gnn,eginconv,2.0,3.0,none,True,val_best,59.6,19.3918,0.1138,0.009,1413607.0,16.2534,0.4467,0.9678,0.002,0.7206,0.0366,0.2252,0.0655,0.339,0.0811,0.8433,0.0313
dilated_gnn,eginconv,3.0,1.0,add,False,val_best,75.3,24.1539,0.0938,0.0122,1142102.0,12.6125,0.2662,0.9719,0.0028,0.7611,0.0449,0.3551,0.0841,0.4798,0.0953,0.9063,0.0361
dilated_gnn,eginconv,3.0,1.0,add,True,val_best,43.0,17.1172,0.1111,0.01,1142103.0,12.3371,0.3397,0.9675,0.0025,0.7111,0.0397,0.2148,0.0894,0.3215,0.1125,0.8559,0.0332
dilated_gnn,eginconv,3.0,1.0,concat,False,val_best,55.5,14.6441,0.1031,0.0078,1142402.0,12.6262,0.2858,0.9697,0.0018,0.7468,0.025,0.2863,0.0591,0.4111,0.0675,0.8814,0.026
dilated_gnn,eginconv,3.0,1.0,concat,True,val_best,53.0,22.163,0.1076,0.0124,1142403.0,12.3782,0.1989,0.9686,0.0029,0.7131,0.1111,0.2418,0.1045,0.3522,0.1387,0.8679,0.0405
dilated_gnn,eginconv,3.0,1.0,none,False,val_best,58.7,19.0003,0.099,0.0107,1142102.0,12.0605,0.174,0.9706,0.0023,0.7675,0.0209,0.3053,0.0761,0.4319,0.0834,0.8949,0.0313
dilated_gnn,eginconv,3.0,1.0,none,True,val_best,58.3,21.5362,0.1054,0.0115,1142103.0,12.7063,0.2793,0.9689,0.0026,0.7501,0.0366,0.246,0.0952,0.3608,0.1215,0.8757,0.0368
dilated_gnn,eginconv,3.0,2.0,add,False,val_best,90.8,6.7941,0.1017,0.0034,1413603.0,15.1086,0.334,0.9709,0.0008,0.7728,0.0125,0.3132,0.0249,0.4452,0.027,0.8804,0.0103
dilated_gnn,eginconv,3.0,2.0,add,True,val_best,66.9,16.3184,0.1104,0.0057,1413605.0,15.222,0.3268,0.9686,0.0014,0.7362,0.017,0.2495,0.0479,0.3704,0.0568,0.8505,0.0177
dilated_gnn,eginconv,3.0,2.0,concat,False,val_best,79.1,15.5592,0.11,0.0079,1413903.0,14.5389,0.366,0.9688,0.0017,0.7516,0.0293,0.245,0.0562,0.3666,0.0687,0.8556,0.0264
dilated_gnn,eginconv,3.0,2.0,concat,True,val_best,83.2,11.3384,0.1092,0.0049,1413905.0,14.4629,0.446,0.969,0.0012,0.7551,0.0159,0.2557,0.0418,0.3802,0.0483,0.8577,0.0178
dilated_gnn,eginconv,3.0,2.0,none,False,val_best,64.3,26.2338,0.1184,0.0122,1413603.0,15.6081,0.3183,0.9675,0.0021,0.7434,0.0332,0.1978,0.0692,0.3074,0.0912,0.8244,0.049
dilated_gnn,eginconv,3.0,2.0,none,True,val_best,68.6,23.3504,0.1235,0.0087,1413605.0,22.2734,0.1865,0.9665,0.0015,0.7258,0.0416,0.1637,0.0459,0.2649,0.064,0.8088,0.0346
dilated_gnn,eginconv,3.0,3.0,add,False,val_best,78.6,15.9261,0.1109,0.0074,1685104.0,16.9543,0.2859,0.9688,0.0016,0.742,0.0144,0.2527,0.0598,0.3731,0.0717,0.8472,0.023
dilated_gnn,eginconv,3.0,3.0,add,True,val_best,84.9,11.5278,0.1078,0.0027,1685107.0,16.7254,0.3193,0.9692,0.0005,0.7396,0.0116,0.275,0.0206,0.4004,0.0219,0.8579,0.0093
dilated_gnn,eginconv,3.0,3.0,concat,False,val_best,82.2,14.02,0.1121,0.0051,1685404.0,16.0309,0.5754,0.9684,0.0011,0.7412,0.0077,0.238,0.0412,0.3583,0.0497,0.8452,0.0179
dilated_gnn,eginconv,3.0,3.0,concat,True,val_best,84.6,9.1455,0.1107,0.0024,1685407.0,25.505,0.5511,0.9683,0.0008,0.7277,0.0193,0.2458,0.0236,0.3671,0.028,0.8507,0.0089
dilated_gnn,eginconv,3.0,3.0,none,False,val_best,69.3,20.4502,0.1221,0.0081,1685104.0,24.9854,0.6908,0.9665,0.0012,0.7202,0.0245,0.1708,0.0409,0.2742,0.0543,0.8146,0.0313
dilated_gnn,eginconv,3.0,3.0,none,True,val_best,79.5,14.5,0.1233,0.005,1685107.0,16.1641,0.7124,0.9661,0.0007,0.7164,0.0247,0.1575,0.0252,0.2575,0.0358,0.8113,0.0203
standard_gnn,egatconv,,,,,val_best,23.8,10.4957,0.1434,0.0046,963601.0,15.1732,0.3029,0.9621,0.0005,0.3059,0.1393,0.0186,0.0191,0.0345,0.0339,0.7283,0.0257
standard_gnn,eginconv,,,,,val_best,79.8,20.009,0.1339,0.0143,1413601.0,12.0739,0.3561,0.9638,0.0013,0.4851,0.2472,0.0784,0.0656,0.1307,0.1008,0.7399,0.1067
